Season,Name,Age,Hometown,Profession,Finish,Ethnicity,Gender,Lgbt,Has Disability,State,Country
36,Angela Perkins,42,"Cincinnati, OH",Army Veteran,4,White,F,False,False,OH,USA
36,Laurel Johnson,29,"Minneapolis, MN",Financial Consultant,2,African-American,F,False,False,MN,USA
36,Domenick Abbate,38,"Nesconset, NY",Construction Supervisor,2,White,M,False,False,NY,USA
36,Wendell Holland,33,"Philadelphia, PA",Furniture Company Owner,1,African-American,M,False,False,PA,USA
37,Pat Cusack,41,"Cohoes, NY",Maintenance Manager,20,White,M,False,False,NY,USA
37,Jessica Peet,19,"Lakeland, FL",Waitress,19,White,F,False,False,FL,USA
37,Jeremy Crawford,40,"Clover, SC",Attorney,18,African-American,M,True,False,SC,USA
37,Bi Nguyen,28,"Houston, TX",Mixed Martial Arts Fighter,17,Asian-American,F,False,False,TX,USA
37,Natalia Azoqa,25,"Irvine, CA",Industrial Engineer,16,Asian-American,F,False,False,CA,USA
37,Natalie Cole,57,"Los Angeles, CA",Publishing CEO,15,African-American,F,False,False,CA,USA
37,Lyrsa Torres,36,"Boston, MA",Airline Agent,14,Latin American,F,True,False,MA,USA
37,Elizabeth Olson,31,"Longview, TX",Kitchen Staff Member,13,White,F,False,False,TX,USA
37,John Hennigan,38,"Los Angeles, CA",Professional Wrestler,12,White,M,False,False,CA,USA
37,Dan Rengering,27,"Lake Butler, FL",S.W.A.T. Officer,11,White,M,False,False,FL,USA
37,Alec Merlino,24,"San Clemente, CA",Bartender,10,White,M,False,False,CA,USA
37,Carl Boudreaux,41,"Beaumont, TX",Truck Driver,9,African-American,M,False,False,TX,USA
37,Gabby Pascuzzi,25,"St. Augustine, FL",Technical Writer,8,Asian-American,F,True,False,FL,USA
37,Christian Hubicki,32,"Tallahassee, FL",Robotics Scientist,7,White,M,False,False,FL,USA
37,Davie Rickenbacker,30,"Orangeburg, SC",Social Media Manager,6,African-American,M,False,False,SC,USA
37,Alison Raybould,28,"Chapel Hill, NC",Physician,5,White,F,False,False,NC,USA
37,Kara Kay,30,"San Diego, CA",Realtor,4,White,F,False,False,CA,USA
37,Angelina Keeley,28,"Sparks, NV",Financial Consultant,2,Latin American,F,False,False,NV,USA
37,Mike White,47,"Los Angeles, CA",Filmmaker,2,White,M,True,False,CA,USA
37,Nick Wilson,27,"Williamsburg, KY",Public Defender,1,White,M,False,False,KY,USA
38,Reem Daly,46,"Ashburn, VA",Sales Representative,18,White,F,False,False,VA,USA
38,Keith Sowell,19,"Durham, NC",Pre-Med Student,17,African-American,M,False,False,NC,USA
38,Aubry Bracco,32,"Los Angeles, CA",Marketing Director,16,White,F,False,False,CA,USA
38,Wendy Diaz,25,"Bell, CA",Small Business Owner,15,Latin American,F,False,True,CA,USA
38,Joe Anglim,29,"Ogden, UT",Multimedia Artist,14,White,M,False,False,UT,USA
38,Eric Hafemann,35,"Livermore, CA",Firefighter,13,White,M,False,False,CA,USA
38,Julia Carter,25,"Bethesda, MD",Medical Assistant,12,African-American,F,False,False,MD,USA
38,David Wright,44,"Sherman Oaks, CA",Television Writer,11,White,M,False,False,CA,USA
38,Kelley Wentworth,31,"Seattle, WA",Marketing Manager,10,White,F,False,False,WA,USA
38,Wardog DaSilva,38,"Los Angeles, CA",Law Student/Former Military,9,White,M,False,False,CA,USA
38,Ron Clark,46,"Atlanta, GA",Teacher,8,White,M,True,False,GA,USA
38,Aurora McCreary,32,"Orlando, FL",Divorce Attorney,7,White,F,True,False,FL,USA
38,Victoria Baamonde,23,"Bronx, NY",Waitress,6,Latin American,F,False,False,NY,USA
38,Lauren O'Connell,21,"Bakersfield, CA",Student,5,White,F,False,False,CA,USA
38,Rick Devens,33,"Blacksburg, VA",Morning News Anchor,4,White,M,False,False,VA,USA
38,Julie Rosenberg,46,"New York, NY",Toymaker,2,White,F,False,False,NY,USA
38,Gavin Whitson,23,"Erwin, TN",YMCA Program Director,2,White,M,False,False,TN,USA
38,Chris Underwood,25,"Greenville, SC",District Sales Manager,1,Latin American,M,False,False,SC,USA
39,Ronnie Bardah,35,"Henderson, NV",Poker Player,20,Asian-American,M,False,False,NV,USA
39,Molly Byman,27,"Durham, NC",Law Student,19,White,F,False,False,NC,USA
39,Vince Moua,27,"Palo Alto, CA",Admissions Counselor,18,Asian-American,M,True,False,CA,USA
39,Chelsea Walker,26,"Los Angeles, CA",Digital Content Creator,17,White,F,False,False,CA,USA
39,Tom Laidlaw,60,"Greenwich, CT",Former NHL Player,16,White,M,False,False,CT,USA
39,Jason Linden,32,"New York, NY",Personal Injury Attorney,15,White,M,False,False,NY,USA
39,Jack Nichting,23,"Harrisonburg, VA",Grad Student,14,White,M,False,False,VA,USA
39,Kellee Kim,29,"Philadelphia, PA",MBA Student,13,Asian-American,F,False,False,PA,USA
39,Jamal Shipman,33,"Providence, RI",College Administrator,12,Latin American,M,False,False,RI,USA
39,Aaron Meredith,36,"Warwick, RI",Gym Owner,11,African-American,M,False,False,RI,USA
39,Missy Byrd,24,"Tacoma, WA",Air Force Veteran,10,African-American,F,True,False,WA,USA
39,Elizabeth Beisel,26,"Saunderstown, RI",Olympic Medalist,9,White,F,False,False,RI,USA
39,Karishma Patel,37,"Houston, TX",Personal Injury Attorney,8,Asian-American,F,False,False,TX,USA
39,Elaine Stott,41,"Rockholds, KY",Factory Worker,7,White,F,True,False,KY,USA
39,Dan Spilo,48,"Los Angeles, CA",Talent Manager,6,White,M,False,False,CA,USA
39,Janet Carbin,59,"Palm Bay, FL",Chief Lifeguard,5,White,F,False,False,FL,USA
39,Lauren Beck,28,"Glendale, CA",Nanny,4,African-American,F,False,False,CA,USA
39,Noura Salman,36,"North Potomac, MD",Entrepreneur,2,Asian-American,F,False,False,MD,USA
39,Dean Kowalski,28,"New York, NY",Tech Sales,2,White,M,False,False,NY,USA
39,Tommy Sheehan,26,"Long Beach, NY",4th Grade Teacher,1,White,M,False,False,NY,USA
40,Amber Mariano,40,"Pensacola, FL",Director of Marketing & Communications,20,White,F,False,False,FL,USA
40,Danni Boatwright,43,"Shawnee, KS",Sideline Chic Owner,19,White,F,False,False,KS,USA
40,Ethan Zohn,45,"Hillsborough, NH",Keynote Speaker/Social Entrepreneur,18,White,M,False,False,NH,USA
40,Rob Mariano,43,"Pensacola, FL",Construction Worker,17,White,M,False,False,FL,USA
40,Parvati Shallow,36,"Los Angeles, CA",Life Coach/Speaker/Yoga Teacher,16,White,F,True,False,CA,USA
40,Sandra Diaz-Twine,44,"Riverview, FL",Case Manager,15,Latin American,F,False,False,FL,USA
40,Yul Kwon,44,"Los Altos, CA",Product Management,14,Asian-American,M,False,False,CA,USA
40,Wendell Holland,35,"Philadelphia, PA",Furniture Designer,13,African-American,M,False,False,PA,USA
40,Adam Klein,28,"Burlingame, CA",Host/Keynote Speaker,12,White,M,False,False,CA,USA
40,Tyson Apostol,39,"Mesa, AZ",Former Pro Cyclist/Shop Manager,11,White,M,False,False,AZ,USA
40,Sophie Clarke,29,"Santa Monica, CA",Healthcare Consultant,10,White,F,False,False,CA,USA
40,Kim Spradlin-Wolfe,36,"San Antonio, TX",Interior Designer,9,White,F,False,False,TX,USA
40,Jeremy Collins,41,"Foxborough, MA",Firefighter,8,African-American,M,False,False,MA,USA
40,Nick Wilson,28,"Williamsburg, KY",Attorney,7,White,M,False,False,KY,USA
40,Denise Stapley,48,"Marion, IA",Sex Therapist,6,White,F,False,False,IA,USA
40,Ben Driebergen,36,"Boise, ID",Real Estate Agent/Stay-at-home Dad,5,White,M,False,False,ID,USA
40,Sarah Lacina,35,"Cedar Rapids, IA",Police Officer,4,White,F,False,False,IA,USA
40,Michele Fitzgerald,29,"Hoboken, NJ",Business Development Manager,2,White,F,False,False,NJ,USA
